,Unnamed: 0,en,cn,ar,pos
0,0,* a.m.,下午 * 点,* صباحًا,prt
1,1,* airlines has a flight leaving at *.,* 航空公司 有 一架 班机 ， 在 * 起飞 。,,vp
2,2,"* and * , please.",请 给 我 * 和 * 。,من فضلك أعطني * و *.,vp
3,3,* day(s),* 天,‏* أيام,prt
4,4,* dinar,第纳尔,دينار,prt
5,5,* dirham,迪拉姆,درهم,prt
6,6,* dollar(s),美元,دولار,prt
7,7,* hour(s),* 个 小时,‏* ساعات,prt
8,8,* is not working.,坏 了,* لا يعمل,vp
9,9,* minute(s),* 分钟,‏* دقائق,prt
10,10,* month(s),* 个 月,*  أشهر,prt
11,11,* p.m.,上午 * 点,* مساءً,prt
12,12,* people,* 个人,* أشخاص,prt
13,13,* people.,四口 人 。,,vp
14,14,* pound(s),磅,جنيه,prt
15,15,* week(s),* 个 星期,‏* أسبوع,prt
16,16,* year(s),* 年,‏* سنوات,prt
17,17,* yuan,* 元,* يوان,prt
18,18,* yuan.,* 元 。,,vp
19,19,a bottle,一瓶,قارورة,np
20,20,A cleaning fee will be charged if you smoke in this room.,nan,,vp
21,21,A cocktail if possible.,如果 可能 的话 来 点 鸡尾酒 吧 。,,sent
22,22,A cup of coffee for me.,我要 一杯 咖啡 。,,sent
23,23,a glass of wine,一 杯酒,كأس من النبيذ,np
24,24,a pint,一品 脱,نصف لتر,np
25,25,A small cup of strong black coffee without milk or cream.,小杯 浓 的 黑 咖啡 ， 不 加 牛奶 和 奶油 。,,sent
26,27,"A table for *, please.",* 位 。,,vp
27,28,A waiter will come to take your order.,服务员 会 过来 为 您 点餐 。,,sent
28,29,abdomen,腹部,بطن,np
29,30,able,能干 的,,np
30,31,Abu Dhabi,阿布扎比,أبو ظبي,np
31,32,Abuja,阿布贾,أبوجا,np
32,33,academic year,学年,,np
33,34,Accessible Guestroom.,残疾人 客房 。,,sent
34,35,accompanying number,偕行 人数,,np
35,36,Accra,阿克拉,أكرا,np
36,37,achievements,业绩,,np
37,38,active,主动 的,,np
38,39,adaptable,适应性 强 的,,np
39,40,adapted to,适应 于,,np
40,41,address,地址,,np
41,42,address while in,前往 国家 的 住址,,np
42,43,Adelaide,阿德莱德,أديليد,np
43,44,adopted daughter,养女,,np
44,45,adopted son,养子,,np
45,46,Advance Reservations. Can I help you?,这儿 预订 房间 ， 需要 效劳 吗 ?,,sent
46,47,Afghanistan,阿富汗,أفغانستان,np
47,48,after,之后,بعد,adv
48,49,"After landing on the airport, you can turn on you cell phone.",飞机 降落 在 机场 后 ， 你 就 能 打开 手机 了 。,,sent
49,50,afternoon,下午,بعد الظهر,np
50,51,age,年龄,,np
51,52,aggressive,有 进取心 的,,np
52,53,Ahmedabad,艾哈迈 达 巴德,أحمد أباد,np
53,54,Air Conditioned.,空调 开放 。,,sent
54,55,air route,航线,,np
55,56,airbus,空中客车,,np
56,57,airconditioner,空调,مكيف هواء,np
57,58,airline coach service,航空公司 汽车 服务处,,np
58,59,airplane,飞机,طائرة,np
59,60,airport,机场,مطار,np
60,61,Airport Bus.,机场 巴士 。,,sent
61,62,airport fee,机场 费,,np
62,63,Airport Limousine.,机场 班车 。,,sent
63,64,airport lounges,机场 休息室,,np
64,65,airport security,机场 安检,,np
65,66,Airport security.,机场 安检 。,,sent
66,67,Airport Shuttle.,机场 班车 。,,sent
67,68,airport terminal,机场 候机楼,,np
68,69,airports shuttle,机场 班车,,np
69,70,airsick,晕机,,np
70,71,"Aisle, please.",靠 过 道 的 。,,sent
71,72,Albania,阿尔巴尼亚,ألبانيا,np
72,73,Aleppo,阿勒颇,حلب,np
73,74,Alexandria,亚历山大,الإسكندرية,np
74,75,Algeria,阿尔及利亚,الجزائر,np
75,76,alias,别名,,np
76,77,All bags-packages and persons are subject to search.,所有 行李 包裹 以及 个人 一律 接受 安检 。,,sent
77,78,All our rooms are full occupied.,我们 所有 的 房间 都 满 了 。,,sent
78,79,"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",便携 电器 、 钥匙 、 硬币 、 和 其他 金属 物品 置放 单独 盒内 后 ， 放 X光 安检 传送带 上 。,,sent
79,80,All right.,好 的 。,حسنا.,sent
80,81,All right. Will there be anything else?,好 的 ， 还 需要 别的 吗 ?,,sent
81,82,All the connecting passengers are requested to proceed to Gate *,所有 转机 旅客 请 到 * 号 登机 门 。,,vp
82,83,All the leaving passengers must go through this gate.,所有 旅客 都 必须 从 这个 检查 口 通过 。,,sent
83,84,altitude,高度,,np
84,85,aluminum foil,铝箔,,np
85,86,Always Use Deadbolt.,始终 使用 死栓 。,,sent
86,87,Am I under arrest?,我 被捕 了 吗 ？,هل أنا معتقل؟,sent
87,88,ambitious,有 雄心壮志 的,,np
88,89,amiable,和蔼可亲 的,,np
89,90,amicable,友好 的,,np
90,91,Amsterdam,阿姆斯特丹,أمستردام,np
91,92,"An aisle seat, please.",请 给 我 一个 靠 走 道 的 座位 。,,sent
92,93,analytical,善于 分析 的,,np
93,94,ancestor,祖先,,np
94,95,"And now you want to change the booking, do you?",你 想 变更 一下 入住 时间 吗 ?,,sent
95,96,And would you mind opening your laptop?,您 介意 打开 您 的 手提电脑 吗 ?,,sent
96,97,"And your telephone number, please?",请问 你 的 电话号码 是 多少 ?,,sent
97,98,Andorra,安道尔,أندورا,np
98,99,Angola,安哥拉,أنغولا,np
99,100,Ankara,安卡拉,أنقرة,np
100,101,Antigua,安提瓜,أنتيغوا,np
101,102,Any brothers or sisters?,有 兄弟姐妹 吗 ?,,sent
102,103,Anything else in your pocket?,口袋 里 还有 其它 物品 吗 ？,,sent
103,104,apple,苹果,تفاحة,np
104,105,apprehensive,有 理解力 的,,np
105,106,April,四月,أبريل,np
106,107,Are there any discount tickets for me?,我 买票 有 折扣 吗 ?,,sent
107,108,Are there any restaurants still open near here?,这 附近 还有 在 营业 的 饭店 吗 ?,,sent
108,109,Are they non-stop flights?,它们 是 直飞 班机 吗 ?,,sent
109,110,Are you here by yourself?,nan,هل أنت بمفردك؟,sent
110,111,Are you looking for something particular?,您 在 找 什么 呢 ?,,sent
111,112,area of customs control,海关监管 区,,np
112,113,Area Of Customs Control.,海关监管 区 。,,sent
113,114,Argentina,阿根廷,الأرجنتين,np
114,115,Armenia,亚美尼亚,أرمينيا,np
115,116,armrest,座椅 扶手,,np
116,117,Around the corner.,转角,قريب من هنا,sent
117,118,arrivals,进港,,np
118,119,assistance,问讯处,,np
119,120,"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",* 号 登机口 ， 在 通过 安检 后 左转 ， 走 到 大厅 的 尽头 乘 电梯 能 到 。,,vp
120,121,At what aisle is the frozen food?,冷冻 食品 在 哪条 通道 ?,,sent
121,122,Athens,雅典,أثينا,np
122,123,Attendant Call.,呼叫 服务员,,sent
123,124,"Attention, please. Due to weather condition, all flights to * will be delayed.",各位 旅客 请 注意 ， 由于 气候 不佳 ， 所有 飞往 * 的 班机 都 将 延后 起飞 。,,vp
124,125,Auckland,奥克兰,أوكلاند,np
125,126,August,八月,أغسطس,np
126,127,aunt,姑母,,np
127,128,Australia,澳大利亚,أستراليا,np
128,129,Austria,奥地利,النمسا,np
129,130,automatic ticket machine,自动 售票机,,np
130,131,autonomous region,自治区,,np
131,132,avenue,大道,سبيل,np
132,133,Azerbaijan,阿塞拜疆,أذربيجان,np
133,134,bachelor,学士,,np
134,135,back,背,ظهر,np
135,136,baggage,行李,,np
136,137,Baggage Claim,行李 提取,,sent
137,138,baggage claim area,行李 领取 处,,np
138,139,Baggage Rack,行李架,,sent
139,140,baggage tag,行李牌,,np
140,141,Bahamas,巴哈马,الباهاما,np
141,142,Bahrain,巴林,البحرين,np
142,143,bakery,面包店,,np
143,144,Bali,巴厘岛,بالي,np
144,145,banana latte,香蕉 咖啡 拿 铁,,np
145,146,banana mocha,香蕉 摩卡 咖啡,,np
146,147,Bangalore,班加罗尔,بنغالور,np
147,148,Bangkok,曼谷,بانكوك,np
148,149,Bangladesh,孟加拉国,بنغلاديش,np
149,150,bank,银行,,np
150,151,bar,酒巴,,np
151,152,Barbados,巴巴多斯,بربادوس,np
152,153,Barcelona,巴塞罗那,برشلونة,np
153,154,bars,酒吧,مشرب,np
154,155,basket,篮子,,np
155,156,bathroom,卫生间,‏حمام,np
156,157,batteries,电池,بطارية,np
157,158,Be Careful When Using The Bath.,使用 此 浴室 时 小心 。,,sent
158,159,Be Careful.,小心 路滑 。,,sent
159,160,"Be seated, please.",请 坐 。,,sent
160,161,beans,豆,فول,np
161,162,bedsheets,床单,ملاءات السرير,np
162,163,beef,牛肉,لحم بقري,np
163,164,beer,啤酒,بيرة,np
164,165,beer glass,啤酒杯,,np
165,166,before,以前,قبل,adv
166,167,Beijing,北京,بكين,np
167,168,Beirut,贝鲁特,بيروت,np
168,169,Belarus,白俄罗斯,روسيا البيضاء,np
169,170,Belfast,贝尔法斯特,بلفاست,np
170,171,Belgium,比利时,بلجيكا,np
171,172,Belgrade,贝尔格莱德,بلغراد,np
172,173,Belize,伯利兹,بليز,np
173,174,belt,带,,np
174,175,Benin,贝宁,بنين,np
175,176,Berlin,柏林,البرلينية,np
176,177,beware of pickpocket,谨防扒手,,np
177,178,Bhopal,博帕尔,بوبال,np
178,179,Bhutan,不丹,بوتان,np
179,180,bigger,更大,أكبر,adj
180,181,bike parking,自行车 存车处,,np
181,182,billion,十亿,مليار‎,num
182,183,Birmingham,伯明翰,برمنغهام,np
183,184,birthdate,出生日期,,np
184,185,birthday,生日,عيد الميلاد,np
185,186,birthplace,出生地点,مسقط الرأس,np
186,187,black,黑色,أسود,adj
187,188,"Black coffee, please.",请来 杯 黑 咖啡 。,,sent
188,189,black pepper,黑胡椒,فلفل أسود,np
189,190,black tea,红茶,شاي أسود,np
190,191,blackberry latte,黑莓 咖啡 拿 铁,,np
191,192,blanket,毛毯,,np
192,193,bloodtype,血型,,np
193,194,blue,蓝色,أزرق,adj
194,195,boarder,寄宿生,,np
195,196,boarding,登机,,np
196,197,boarding gate,登机口,,np
197,198,Boarding Gate.,登机口 。,,sent
198,199,boarding pass,登机牌,,np
199,200,"Boarding passes and IDs, please!",请 出示 登记证 和 身份证 !,,sent
200,201,Boarding time is *.,登机 时间 是 * 。,,vp
201,202,body,身体,الجسم,np
202,203,boeing,波音,,np
203,204,Bogota,波哥大,بوغوتا,np
204,205,boiled water,开水,ماء مغلي,np
205,206,Bolivia,玻利维亚,بوليفيا,np
206,207,Bordeaux,波尔多,بوردو,np
207,208,born,生于,,np
208,209,Bosnia Herzegovina,波黑,البوسنة الهرسك,np
209,210,Both flights have seats available.,两次 航班 都 有 座 。,,sent
210,211,Botswana,博茨瓦纳,بوتسوانا,np
211,212,bottled water,矿泉水,مياه معبأة,np
212,213,Bottoms up!,干杯 !,,sent
213,214,Brasilia,巴西利亚,برازيليا,np
214,215,Bratislava,布拉迪斯拉发,براتيسلافا,np
215,216,Brazil,巴西,البرازيل,np
216,217,bread,面包,خبز,np
217,218,bread plate,面包 碟,,np
218,219,breakfast,早饭,وجبة افطار,np
219,220,Brighton,布莱顿,برايتون,np
220,221,Brisbane,布里斯班,بريسبان,np
221,222,Bristol,布里斯托尔,بريستول,np
222,223,brother,兄弟,,np
223,224,brother-in-law,大伯,,np
224,225,brown,褐色,بني,adj
225,226,brown sugar,红糖,,np
226,227,Brunei,文莱,بروناي,np
227,228,Brussels,布鲁塞尔,بروكسل,np
228,229,Bucharest,布加勒斯特,بوخارست,np
229,230,Budapest,布达佩斯,بودابست,np
