,en,cn,ar,pos
0,* a.m.,下午*点,* صباحًا,prt
1,* airlines has a flight leaving at *.,*航空公司有一架班机，在*起飞。,,vp
2,"* and * , please.",请给我*和*。,من فضلك أعطني * و *.,vp
3,* day(s),*天,‏* أيام,prt
4,* dinar,第纳尔,دينار,prt
5,* dirham,迪拉姆,درهم,prt
6,* dollar(s),美元,دولار,prt
7,* hour(s),*个小时,‏* ساعات,prt
8,* is not working.,坏了,* لا يعمل,vp
9,* minute(s),*分钟,‏* دقائق,prt
10,* month(s),*个月,*  أشهر,prt
11,* p.m.,上午*点,* مساءً,prt
12,* people,*个人,* أشخاص,prt
14,* pound(s),磅,جنيه,prt
15,* week(s),*个星期,‏* أسبوع,prt
16,* year(s),*年,‏* سنوات,prt
17,* yuan,*元,* يوان,prt
19,a bottle,一瓶,قارورة,np
20,A cleaning fee will be charged if you smoke in this room.,,,vp
21,A cocktail if possible.,如果可能的话来点鸡尾酒吧。,,sent
22,A cup of coffee for me.,我要一杯咖啡。,,sent
23,a glass of wine,一杯酒,كأس من النبيذ,np
24,a pint,一品脱,نصف لتر,np
25,A small cup of strong black coffee without milk or cream.,小杯浓的黑咖啡，不加牛奶和奶油。,,sent
26,"A table for *, please.",*位。,,vp
27,A waiter will come to take your order.,服务员会过来为您点餐。,,sent
28,abdomen,腹部,بطن,np
29,able,能干的,,np
30,Abu Dhabi,阿布扎比,أبو ظبي,np
31,Abuja,阿布贾,أبوجا,np
32,academic year,学年,,np
33,Accessible Guestroom.,残疾人客房。,,sent
34,accompanying number,偕行人数,,np
35,Accra,阿克拉,أكرا,np
36,achievements,业绩,,np
37,active,主动的,,np
38,adaptable,适应性强的,,np
39,adapted to,适应于,,np
40,address,地址,,np
41,address while in,前往国家的住址,,np
42,Adelaide,阿德莱德,أديليد,np
43,adopted daughter,养女,,np
44,adopted son,养子,,np
45,Advance Reservations. Can I help you?,这儿预订房间，需要效劳吗?,,sent
46,Afghanistan,阿富汗,أفغانستان,np
47,after,之后,بعد,adv
48,"After landing on the airport, you can turn on you cell phone.",飞机降落在机场后，你就能打开手机了。,,sent
49,afternoon,下午,بعد الظهر,np
50,age,年龄,,np
51,aggressive,有进取心的,,np
52,Ahmedabad,艾哈迈达巴德,أحمد أباد,np
53,Air Conditioned.,空调开放。,,sent
54,air route,航线,,np
55,airbus,空中客车,,np
56,airconditioner,空调,مكيف هواء,np
57,airline coach service,航空公司汽车服务处,,np
58,airplane,飞机,طائرة,np
