,en,ar
0,OPEN,مفتوح 
1,CLOSED,مغلق 
2,ENTRANCE,دخول 
3,EXIT,خروج 
4,PUSH,ادفع 
5,PULL,اسحب 
6,TOILET,حمام 
7,MEN,رجال 
8,WOMEN,سيدات 
9,FORBIDDEN,ممنوع 
10,Goodbye,مع السلامة   
11,Goodbye (informal),باي باي  
12,I can't speak Arabic [well].,لا اتكلم عربي جيدا    
13,Do you speak English?,هل تتكلم الانجليزية   
14,Is there someone here who speaks English?,حد بيتكلم انجليزي؟    
15,Help!,النجدة ; إلحقوني 
16,Look out!,انتبه 
17,Good night.,تصبح على خير   
18,I don't understand.,لا افهم  
19,Where is the toilet?,وين/فين الحمام؟ / 
20,Leave me alone.,
21,Don't touch me!,لا تلمسني 
22,I'll call the police.,سأتصل بالشرطة‏ ‎
23,Police!,  
24,Stop! Thief!,اوقف حرامي‏ ‎
25,I need your help.,محتاج مساعدة لو سمحت 
26,Medical emergency,إسعاف 
27,I'm lost.,أنا تايه 
28,I lost my bag.,
29,I lost my wallet.,
30,I'm sick.,
31,I've been injured.,إنني مصاب
32,I need a doctor.,
33,Can I use your phone?,
34,٠,
35,١,
36,٢,
37,٣,
38,٤,
39,٥,
40,٦,
41,٧,
42,٨,
43,٩,
44,0,صفر 
45,1,واحد 
46,2,إثنان 
47,3,ثلاثة 
48,4,اربعة 
49,5,خمسة 
50,6,ستة 
51,7,سبعة 
52,8,ثمانية 
53,9,تسعة 
54,10,عشرة 
55,11,احد عشر  
56,12,اثنا عشر  
57,13,ثلاثة عشر  
58,14,اربعة عشر  
59,15,خمسة عشر  
60,16,ستة عشر  
61,17,سبعة عشر  
62,18,ثمانية عشر  
63,19,تسعة عشر  
64,20,عشرون 
65,21,واحد وعشرون  
66,22,اثنان وعشرون  
67,23,ثلاثة وعشرون  
68,30,ثلاثون 
69,40,اربعون 
70,50,خمسون 
71,60,ستون 
72,70,سبعون 
73,80,ثمانون 
74,90,تسعون 
75,100,مئة 
76,200,مئتين 
77,300,ثلاث مئة  
78,1000,الف    
79,2000,الفين 
80,"1,000,000",مليون 
81,"1,000,000,000",مليار‎ بليون  
82,"1,000,000,000,000",تريليون 
83,"number _____ (train, bus, etc.)",رقم /  
84,half,نصف 
85,less,اقل 
86,more,اكثر 
87,Go,ذهب 
88,Stop,وقف 
89,Turn left,لف يسار  
90,Turn right,لف يمين  
91,straight ahead,إلى الامام  ; على طول   
92,slowly,ببطء ; شوي شوي   
93,Wait or stay,انتظر 
94,Show me.,أرني 
95,here,هنا 
96,there,هناك 
97,before,قبل 
98,after,بعد 
99,now,الأن 
100,from,من 
101,to or at (a place),إلى 
102,Wait one minute.,إنتظر دقيقه واحده   
103,I,انا 
104,you (m),أنتَ ;  
105,you (f),أنتِ ;   
106,he,هو ;   
107,she,هي ;   
108,we,نحن ; احنا‎ نحنا 
109,you (m/mixed),أنتما  
110,they (two people) : هما huma (rarely used out of the most formal Literary Arabic),أنتم ; 
111,they (m/mixed),هم  
112,they (f),هن  
113,Who?,من 
114,What?,ما/ماذا /
115,When?,متى  
116,Where?,اين 
117,Why?,لماذا 
118,How much?,بكم 
119,How much is this?,بكم هذا  
120,Where are you from?,من أين أنت   
121,Understand?,مفهوم؟ 
